epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,423.628,0.20673,1.97366,0.98982,0.29065,0.65287,0.38849,0.38743,0.21578,1.3655,0.42606,0.00333022,0.00333022,0.00333022
2,840.737,0.14512,1.42933,0.91726,0.3362,0.63034,0.43343,0.43169,0.20975,1.3048,0.41058,0.00659758,0.00659758,0.00659758
3,1247.8,0.17383,1.42203,0.92555,0.3346,0.60252,0.37652,0.33941,0.36261,1.49924,0.63824,0.00979894,0.00979894,0.00979894
4,1659.02,0.1607,1.41849,0.91739,0.39675,0.65749,0.50824,0.49887,0.27309,1.19426,0.48674,0.009703,0.009703,0.009703
5,2059.64,0.12958,1.36695,0.9072,0.42798,0.63201,0.50925,0.49106,0.3427,1.22162,0.53674,0.009604,0.009604,0.009604
6,2466.79,0.11297,1.33797,0.90312,0.4737,0.65148,0.57514,0.56997,0.2262,1.12674,0.42192,0.009505,0.009505,0.009505
7,2870.54,0.10165,1.31111,0.90014,0.53423,0.65287,0.61126,0.60824,0.3038,1.02797,0.49867,0.009406,0.009406,0.009406
8,3272.69,0.09495,1.28401,0.89793,0.55693,0.66892,0.64101,0.63751,0.25473,1.00178,0.45899,0.009307,0.009307,0.009307
9,3670.99,0.09028,1.26846,0.89615,0.58198,0.66534,0.65215,0.64742,0.2719,0.97696,0.48287,0.009208,0.009208,0.009208
10,4072.93,0.08323,1.25335,0.89608,0.5654,0.6767,0.6624,0.65825,0.22568,0.9901,0.42361,0.009109,0.009109,0.009109
11,4473.62,0.07982,1.23816,0.89244,0.60493,0.66787,0.68687,0.67921,0.2591,0.96615,0.4715,0.00901,0.00901,0.00901
12,4872.88,0.07609,1.22258,0.89335,0.59197,0.70466,0.69874,0.68404,0.25151,0.92548,0.45543,0.008911,0.008911,0.008911
13,5269.19,0.07435,1.21013,0.89136,0.6056,0.71012,0.70796,0.7059,0.18042,0.92022,0.35062,0.008812,0.008812,0.008812
14,5666.71,0.07217,1.20129,0.89217,0.62613,0.71238,0.72749,0.72745,0.12106,0.83497,0.27597,0.008713,0.008713,0.008713
15,6064.35,0.0694,1.18961,0.89194,0.63664,0.70753,0.73086,0.73048,0.12175,0.85868,0.28633,0.008614,0.008614,0.008614
16,6456.94,0.06708,1.17978,0.88961,0.65073,0.71991,0.74592,0.74586,0.14933,0.83679,0.31731,0.008515,0.008515,0.008515
17,6855.02,0.06579,1.16946,0.89039,0.67359,0.71459,0.75797,0.75737,0.13224,0.80097,0.29244,0.008416,0.008416,0.008416
18,7253.79,0.06489,1.17031,0.88962,0.65319,0.72319,0.75519,0.75487,0.1789,0.81472,0.36785,0.008317,0.008317,0.008317
19,7657.82,0.06305,1.153,0.88872,0.64774,0.7549,0.76555,0.76529,0.14098,0.7933,0.31284,0.008218,0.008218,0.008218
20,8050.59,0.06243,1.15116,0.88909,0.66228,0.74575,0.76874,0.76811,0.12375,0.78486,0.28601,0.008119,0.008119,0.008119
21,8452.34,0.06088,1.14096,0.88925,0.68462,0.73403,0.78321,0.78309,0.11241,0.72752,0.274,0.00802,0.00802,0.00802
22,8844.65,0.05955,1.1341,0.88912,0.66861,0.74102,0.77613,0.77558,0.186,0.78196,0.37527,0.007921,0.007921,0.007921
23,9244.78,inf,1.13144,0.88873,0.67418,0.75221,0.77782,0.77741,0.17663,0.81729,0.35129,0.007822,0.007822,0.007822
24,9637.33,0.05807,1.12279,0.88848,0.67456,0.74162,0.77995,0.77995,0.15126,0.79377,0.32191,0.007723,0.007723,0.007723
25,10037.3,0.05652,1.11852,0.88718,0.68894,0.7287,0.77736,0.77736,0.10814,0.76621,0.26285,0.007624,0.007624,0.007624
26,10434.5,0.05597,1.10763,0.88811,0.69219,0.76024,0.79698,0.79696,0.12569,0.75454,0.29111,0.007525,0.007525,0.007525
